date,hour,event_type,description,program
2021-05-17,15:30,Conférence,"Session d’ouverture « le nouveau Soudan » de la Conférence internationale d’appui à la transition soudanaise, Grand Palais Ephémère.",['Conférence internationale d’appui à la transition soudanaise.']
2021-05-17,16:45,Entretien,"Entretien avec M. Paul KAGAME, Président de la République du Rwanda, Grand Palais Ephémère.",[]
2021-05-17,16:55,Réunion,"Session de travail « concrétiser les promesses économiques et avancer vers la remise de dette du Soudan », Grand Palais Ephémère.",[]
2021-05-17,18:00,Conférence de presse,"Conférence de presse conjointe avec M. Abdel Fattah AL-BURHAN, Président du Conseil de souveraineté de la République du Soudan et M. Abdallah HAMDOK, Premier ministre de la République du Soudan, Grand Palais Ephémère.","[""Conférence de presse à l'issue de la Conférence internationale d’appui à la transition soudanaise.""]"
2021-05-18,08:30,Entretien,"Entretien du Président de la République avec M. David BEASLEY, directeur exécutif du Programme alimentaire.",[]
2021-05-18,09:00,Entretien,"Entretien avec M. Cyril RAMAPHOSA, Président de la République d'Afrique du Sud.",[]
2021-05-18,09:45,Entretien,"Entretien avec M. João LOURENÇO, Président de la République d’Angola.",[]
2021-05-18,11:00,Entretien,"Entretien avec M. Filipe NYUSI, Président de la République du Mozambique.",[]
2021-05-18,12:00,Entretien,"Entretien avec M. Abdel FATTAH AL-SISSI, Président de la République arabe d’Egypte et en visioconférence avec le Roi ABDALLAH II de Jordanie.",['Situation au Proche-Orient : le Président de la République poursuit ses consultations pour mettre un terme aux hostilités.']
2021-05-18,13:00,Sommet,Séance plénière du Sommet sur le financement des économies africaines.,['Sommet de financement des économies africaines.']
2021-05-18,18:00,Conférence de presse,"Conférence de presse conjointe avec M. Felix TSHISEKEDI TSHILOMBO, Président de la République démocratique du Congo et président en exercice de l’Union africaine, M. Macky SALL, Président de la République du Sénégal et de Mme Kristalina GEORGIEVA, Directrice générale du FMI.",[]
2021-05-18,19:00,Entretien,"Entretien avec M. Kaïs SAIED, Président de la République tunisienne.","['Entretien avec M. Kaïs SAÏED, Président de la République tunisienne.']"
2021-05-18,20:00,Entretien,"Entretien avec M. Muhammadu BUHARI, Président de la République fédérale du Nigéria.",[]
2021-05-19,08:15,Entretien,Entretien avec le Premier ministre.,[]
2021-05-19,09:30,Conseil de défense,Conseil de défense Covid-19.,[]
2021-05-19,11:00,Conseil des ministres,Conseil des ministres.,['Compte rendu du Conseil des ministres du mercredi 19 mai 2021.']
2021-05-19,Après-midi,Déplacement,Déplacement dans l’Aube consacré à la réouverture des activités sportives et au lancement du « Pass Sport ».,"[""Lancement du Pass'Sport : du concret pour la reprise du sport.""]"
2021-05-19,20:45,Déplacement,"Finale de la coupe de France de football, Stade de France.",[]
2021-05-20,11:30,Cérémonie officielle,Remise de décorations collective.,[]
2021-05-20,16:30,Réunion,Réunion de travail avec les représentants de l’enseignement supérieur.,[]
2021-05-21,10:00,Entretien,"Entretien avec M. Jens STOLTENBERG, secrétaire général de l’OTAN.",['Déclaration conjointe du Président Emmanuel Macron et du Secrétaire général de l’Organisation du Traité de l’Atlantique Nord Jens Stoltenberg.']
2021-05-21,Après-midi,Déplacement,Déplacement à Nevers consacré à la réouverture des lieux culturels et au pass Culture.,['300 euros de culture pour tous les jeunes de 18 ans.']
2021-05-24,Après-midi,Sommet,Conseil européen.,['Conseil européen des 24 et 25 mai 2021.']
2021-05-25,Toute la journée,Sommet,Conseil européen.,['Conseil européen des 24 et 25 mai 2021.']
2021-05-26,09:00,Conseil de défense,Conseil restreint de défense et de sécurité nationale.,[]
2021-05-26,10:30,Conseil des ministres,Conseil des ministres.,['Compte rendu du Conseil des ministres du mercredi 26 mai 2021.']
2021-05-26,13:15,Déjeuner,Déjeuner avec le Premier ministre.,[]
2021-05-26,15:30,Entretien,"Entretien téléphonique avec M. Narendra MODI, Premier ministre de la République de l'Inde.","['Entretien téléphonique avec le Premier ministre indien, M. Narendra MODI.']"
2021-05-26,16:30,Entretien,"Entretien avec le général de corps d’armée Joseph AOUN, commandant en chef des Forces armées libanaises.",[]
2021-05-26,18:00,Réunion,Réunion ministérielle de suivi de la vaccination.,[]
2021-05-27,Toute la journée,Voyage officiel,Déplacement en République du Rwanda.,['Discours du Président Emmanuel Macron depuis le Mémorial du génocide perpétré contre les Tutsis en 1994.']
2021-05-28,Toute la journée,Voyage officiel,Déplacement en République du Rwanda et en Afrique du Sud.,['Déclaration à la presse du Président Emmanuel Macron et du Président Cyril Ramaphosa.']
2021-05-29,Toute la journée,Voyage officiel,Déplacement en Afrique du Sud.,['Le Président Emmanuel Macron rencontre la communauté française d’Afrique du Sud à Pretoria.']
